sigma_gas_target,n_samples,field,max_quantile_err_dex
5.0,32,Sigma_gas,0.04085154713368655
5.0,32,Sigma_star,0.054008730676893935
5.0,32,H_star,0.04454220315236279
5.0,32,Omega,0.03295759217472782
5.0,32,qshear,0.032163377952297234
5.0,64,Sigma_gas,0.039428216598054844
5.0,64,Sigma_star,0.05034559226439095
5.0,64,H_star,0.0655702491496224
5.0,64,Omega,0.03574202129753412
5.0,64,qshear,0.03566093501862415
5.0,128,Sigma_gas,0.040116726172974904
5.0,128,Sigma_star,0.05875472339059007
5.0,128,H_star,0.06820897973852169
5.0,128,Omega,0.03862449098227261
5.0,128,qshear,0.03656461994050086
5.0,256,Sigma_gas,0.03965304865109376
5.0,256,Sigma_star,0.06450333635523697
5.0,256,H_star,0.06912294842560085
5.0,256,Omega,0.04018675303048869
5.0,256,qshear,0.035055621479797155
10.0,32,Sigma_gas,0.014625805109925727
10.0,32,Sigma_star,0.058424271776363446
10.0,32,H_star,0.05048682406374594
10.0,32,Omega,0.020389155392386282
10.0,32,qshear,0.03720556244214185
10.0,64,Sigma_gas,0.013293440518816535
10.0,64,Sigma_star,0.05440744992956548
10.0,64,H_star,0.04746611031970982
10.0,64,Omega,0.02317821932995079
10.0,64,qshear,0.03802540878923785
10.0,128,Sigma_gas,0.014172707987465394
10.0,128,Sigma_star,0.05209113383440789
10.0,128,H_star,0.049489533953759324
10.0,128,Omega,0.025882510071570275
10.0,128,qshear,0.03984209498756708
10.0,256,Sigma_gas,0.013824395482074259
10.0,256,Sigma_star,0.04977699925911794
10.0,256,H_star,0.047289662839352875
10.0,256,Omega,0.027169715969308728
10.0,256,qshear,0.04013785013862285
20.0,32,Sigma_gas,0.012504998424258673
20.0,32,Sigma_star,0.043079263439083526
20.0,32,H_star,0.038069199960965694
20.0,32,Omega,0.024082346959977574
20.0,32,qshear,0.020655619446725077
20.0,64,Sigma_gas,0.013920849982520966
20.0,64,Sigma_star,0.04059051723771612
20.0,64,H_star,0.0483573826338608
20.0,64,Omega,0.026850974901125424
20.0,64,qshear,0.021433226806171986
20.0,128,Sigma_gas,0.016514645766033675
20.0,128,Sigma_star,0.038762700549599405
20.0,128,H_star,0.049535372493640484
20.0,128,Omega,0.02966525994538438
20.0,128,qshear,0.023305858790651935
20.0,256,Sigma_gas,0.01865066072019106
20.0,256,Sigma_star,0.04690755163061233
20.0,256,H_star,0.05001479892867078
20.0,256,Omega,0.031128479794495734
20.0,256,qshear,0.023475815043477833
